Term,Type (Power Production/Power Consumption/People/Process/Material),ID,Description,Description Reference,Recommendation(s),Key Federal Law(s),Key Federal Policies/Guidance/Programs,ENERGY STAR Certified (Y/N),EPEAT Registered (Y/N),Other Standards,Notes
community outreach/involvement,People,22,"engagement with the community to build grassroots support for green data centers, with focus on their favorable local economic and environmental impacts.",,"Federal agencies (or federal advisory committees which represent them) should engage with communities to be affected by the development and operation of green data centers, publically and accessible present the community-specific costs and benefits, and only proceed with associated procurements upon buy-in from key community stakeholders.","42 U.S.C.§ 4321 et seq.; National Environmental Policy Act (NEPA); https://uscode.house.gov/view.xhtml?req=(title:42%20section:4321%20edition:prelim)

5 U.S.C.§ 10; Federal Advisory Committee Act (FACA):  https://www.gsa.gov/cdnstatic/with_annotations_R2G-b4T_0Z5RDZ-i34K-pR_%281%29.doc

","EO 13990; Protecting Public Health and the Environment and Restoring Science To Tackle the Climate Crisis: https://www.federalregister.gov/documents/2021/01/25/2021-01765/protecting-public-health-and-the-environment-and-restoring-science-to-tackle-the-climate-crisis

E.O. 14057 Sec 301; Executive Order on Catalyzing Clean Energy Industries and Jobs Through Federal Sustainability: https://www.whitehouse.gov/briefing-room/presidential-actions/2021/12/08/executive-order-on-catalyzing-clean-energy-industries-and-jobs-through-federal-sustainability/",N/A,N/A,,
telework and remote work,People,23,work arrangements in which employees perform their duties and fulfill their responsibilities at an employer-approved location; routine visits to the employer worksite each pay period refers to telework; no routine visits to the employer worksite each pay period refers to remote work. ,OPM: https://www.telework.gov/guidance-legislation/telework-guidance/telework-guide/guide-to-telework-in-the-federal-government.pdf,"Federal agencies should emphasize telework and remote work for data center operations to reduce carbon dioxide emissions and other greenhouse gas emissions associated with employee travel, and reduce the energy needed for lighting and temperature regulation.

Furthermore, federal procurements of data center services are encouraged to include contract language that emphasizes the maximum practicable amount of telework and remote work for these same reasons.",5 U.S.C.§ 6501-6506: https://uscode.house.gov/view.xhtml?path=/prelim@title5/part3/subpartE/chapter65&edition=prelim,OPM: https://www.telework.gov/guidance-legislation/telework-guidance/telework-guide/guide-to-telework-in-the-federal-government.pdf,N/A,N/A,,
public transportation,People,24,"integrated system of buses, trains, subways, and other modes of travel that is owned and operated by public (i.e., governmental) authorities.",,"To reduce transportation-related energy consumption, locate the development of data centers near public transportation hubs. Further incentivize use of public transportation via public transportation subsidies to data center staff through already-existing program such as TRANServe (https://www.transportation.gov/transerve). For data center staff who are contractors rather than federal employees, consider including contract provisions that require such subsidies or other public transportation benefits.","Infrastructure Investment and Jobs Act: Pub. L. No.117–58, 135 STAT. 429: https://www.govinfo.gov/content/pkg/PLAW-117publ58/pdf/PLAW-117publ58.pdf",DOT TRANServe: https://www.transportation.gov/transerve,N/A,N/A,,
dark data center,Process,25,"data center which operates almost entirely remotely through lights-out management (LOM), consequently, minimizes the need for lighting.",,"Prioritize data center-related procurements, including procurements of cloud services, from dark data centers in order to reduce lighting-related energy consumption. ","42 U.S.C. § 8253(b): http://uscode.house.gov/view.xhtml?hl=false&edition=2012&req=granuleid%3AUSC-prelim-title42-section8253&f=treesort&fq=true&num=0

42 U.S.C. § 8254: http://uscode.house.gov/view.xhtml?req=(title:42%20section:8254%20edition:2012)%20OR%20(granuleid:USC-2012-title42-section8254)&f=treesort&num=0&edition=2012

42 U.S.C. § 8253(f)(4): http://uscode.house.gov/view.xhtml?hl=false&edition=2012&req=granuleid%3AUSC-prelim-title42-section8253&f=treesort&fq=true&num=0

42 U.S.C. § 8259b(d): http://uscode.house.gov/view.xhtml?hl=false&edition=prelim&req=granuleid%3AUSC-prelim-title42-section8259b&f=treesort&fq=true&num=0&saved=%7CZ3JhbnVsZWlkOlVTQy0yMDEyLXRpdGxlNDItc2VjdGlvbjgyNTM%3D%7CdHJlZXNvcnQ%3D%7CdHJ1ZQ%3D%3D%7C0%7Cfalse%7C2012

FAR Part 23.103: https://www.acquisition.gov/far/subpart-23.1

FAR Part 23.802: https://www.acquisition.gov/far/subpart-23.8#FAR_23_802__d1574e12","E.O. 13990: https://www.federalregister.gov/documents/2021/01/25/2021-01765/protecting-public-health-and-the-environment-and-restoring-science-to-tackle-the-climate-crisis

E.O. 14057 Sec 301: https://www.whitehouse.gov/briefing-room/presidential-actions/2021/12/08/executive-order-on-catalyzing-clean-energy-industries-and-jobs-through-federal-sustainability/",N/A,N/A,,
time-of-use (TOU) energy consumption,Process,26,approach by which an energy utility charges a customer's energy consumption according to temporal changes in energy demand from the utility.,,"Federal agencies should procure energy from energy utilities that offer time-variable rate programs (i.e., TOU) to incentivize electricity use at times when demand on the electrical grid is lower and, thus, electricity costs are relatively lower.","42 U.S.C. § 8253(b): http://uscode.house.gov/view.xhtml?hl=false&edition=2012&req=granuleid%3AUSC-prelim-title42-section8253&f=treesort&fq=true&num=0

42 U.S.C. § 8254: http://uscode.house.gov/view.xhtml?req=(title:42%20section:8254%20edition:2012)%20OR%20(granuleid:USC-2012-title42-section8254)&f=treesort&num=0&edition=2012

42 U.S.C. § 8253(f)(4): http://uscode.house.gov/view.xhtml?hl=false&edition=2012&req=granuleid%3AUSC-prelim-title42-section8253&f=treesort&fq=true&num=0

42 U.S.C. § 8259b(d): http://uscode.house.gov/view.xhtml?hl=false&edition=prelim&req=granuleid%3AUSC-prelim-title42-section8259b&f=treesort&fq=true&num=0&saved=%7CZ3JhbnVsZWlkOlVTQy0yMDEyLXRpdGxlNDItc2VjdGlvbjgyNTM%3D%7CdHJlZXNvcnQ%3D%7CdHJ1ZQ%3D%3D%7C0%7Cfalse%7C2012

FAR Part 23.103: https://www.acquisition.gov/far/subpart-23.1

FAR Part 23.802: https://www.acquisition.gov/far/subpart-23.8#FAR_23_802__d1574e12",,,,,
virtualization management,Process,27,"approach, aided by software, that allows for administration and monitoring of virtualized machines for more efficient utilization of underlying physical machines.",,"Use application rationalization to maximize the extent to which you can virtualize your IT infrastructure and to consolidate servers, which in turn reduces energy consumption and electricity costs. Leverage power management features to further reduce energy consumption and electricity costs during low utilization of computing resources.","42 U.S.C. § 8253(b): http://uscode.house.gov/view.xhtml?hl=false&edition=2012&req=granuleid%3AUSC-prelim-title42-section8253&f=treesort&fq=true&num=0

42 U.S.C. § 8254: http://uscode.house.gov/view.xhtml?req=(title:42%20section:8254%20edition:2012)%20OR%20(granuleid:USC-2012-title42-section8254)&f=treesort&num=0&edition=2012

42 U.S.C. § 8253(f)(4): http://uscode.house.gov/view.xhtml?hl=false&edition=2012&req=granuleid%3AUSC-prelim-title42-section8253&f=treesort&fq=true&num=0

42 U.S.C. § 8259b(d): http://uscode.house.gov/view.xhtml?hl=false&edition=prelim&req=granuleid%3AUSC-prelim-title42-section8259b&f=treesort&fq=true&num=0&saved=%7CZ3JhbnVsZWlkOlVTQy0yMDEyLXRpdGxlNDItc2VjdGlvbjgyNTM%3D%7CdHJlZXNvcnQ%3D%7CdHJ1ZQ%3D%3D%7C0%7Cfalse%7C2012

FAR Part 23.103: https://www.acquisition.gov/far/subpart-23.1

FAR Part 23.802: https://www.acquisition.gov/far/subpart-23.8#FAR_23_802__d1574e12",The Application Rationalization Playbook: https://www.cio.gov/assets/files/Application-Rationalization-Playbook.pdf,,,,V-Motion is a commercially available example.
turning off failover servers until needed,Process,28,"power down failover servers, or backup servers that automatically turn on if the primary server cannot be accessed, until primary server cannot be accessed.",,Failover servers should be powered down until primary servers fail to reduce energy consumption and save on electricity costs.,42 U.S.C. § 8253(b): http://uscode.house.gov/view.xhtml?hl=false&edition=2012&req=granuleid%3AUSC-prelim-title42-section8253&f=treesort&fq=true&num=0,,,,,
temperature in data center,Process,29,recommended temperature or temperature range for inlet air or liquid into IT equipment,,"To reduce cooling energy consumption and save on electricity costs, consider using inlet temperatures that approach the upper threshold of the recommended temperature or temperature range, which varies according to the cooling method (air or liquid) and environmental class (A1, A2, A3, A4, or H1 for air-cooled; W16, W27, W32, W40, W45, orW+ for liquid-cooled). See the American Society of Heating, Refrigerating, and Air-Conditioning Engineers (ASHRAE's) 2021 Equipment Thermal Guidelines for Data Processing Environments: https://www.ashrae.org/File%20Library/Technical%20Resources/Bookstore/Supplemental%20Files/ReferenceCard_2021ThermalGuidelines.pdf

Ensure that IT equipment stays within the recommended thermal envelope as defined by ASHRAE: https://www.techstreet.com/ashrae/standards/thermal-guidelines-for-data-processing-environments-5th-ed?product_id=2212974

Recommend air over liquid cooling.",42 U.S.C. § 8253(b): http://uscode.house.gov/view.xhtml?hl=false&edition=2012&req=granuleid%3AUSC-prelim-title42-section8253&f=treesort&fq=true&num=0,FEMP Best Practices Guide for Energy-Efficient Data Center Design: https://www.energy.gov/eere/femp/articles/best-practices-guide-energy-efficient-data-center-design,,,ASHRAE: https://www.techstreet.com/ashrae/standards/thermal-guidelines-for-data-processing-environments-5th-ed?product_id=2212974,
free cooling (air and/or liquid),Process,30,"flow of outside air or water to cool IT equipment within data center white space, reducing or circumventing the need for traditional cooling systems.",,"To the maximum extent practicable, site new data centers in locations that will offer free cooling via air-side economizers and/or water-side economizers: https://www.energy.gov/eere/femp/articles/best-practices-guide-energy-efficient-data-center-design. Regarding the potential use of air-side economizers, consider not just ambient temperature and humidity but also contaminants (e.g., particulate matter and gaseous pollutants).",42 U.S.C. § 8253(b): http://uscode.house.gov/view.xhtml?hl=false&edition=2012&req=granuleid%3AUSC-prelim-title42-section8253&f=treesort&fq=true&num=0,FEMP Best Practices Guide for Energy-Efficient Data Center Design: https://www.energy.gov/eere/femp/articles/best-practices-guide-energy-efficient-data-center-design,,,,
hot/cold aisle containment,Process,31,"rows of server racks with alternating and sufficiently isolated hot and cold aisles; the heat exhaust is located in the hot aisles, and the air intakes are located in the cold aisles.",FEMP Best Practices Guide for Energy-Efficient Data Center Design: https://www.energy.gov/eere/femp/articles/best-practices-guide-energy-efficient-data-center-design,"Air from hot aises should be used as a heat source for water and other applications (temperature depending on intended use), thereby reducing or eliminating the need for electricity or gas for these purposes (https://www.energy.gov/eere/femp/articles/best-practices-guide-energy-efficient-data-center-design). Concentrate IT equipment to increase the temperature of hot aisles.

Physically partition the space between hot and cold aisles with flexible or rigid materials to minimize mixing of hot and cold air, while still allowing for easy access to servers (https://www.energy.gov/eere/femp/articles/best-practices-guide-energy-efficient-data-center-design).",42 U.S.C. § 8253(b): http://uscode.house.gov/view.xhtml?hl=false&edition=2012&req=granuleid%3AUSC-prelim-title42-section8253&f=treesort&fq=true&num=0,FEMP Best Practices Guide for Energy-Efficient Data Center Design: https://www.energy.gov/eere/femp/articles/best-practices-guide-energy-efficient-data-center-design,,,,
Active Energy Management,Process,32,real-time monitoring and control of data center energy consumption to optimize energy consumption and minimize electricity costs.,,"Leverage active energy management to determine and mitigate the underlying causes of high energy consumption. A key aspect of active energy management is re-tuning, a low-cost approach to managing federal buildings via the identification and correction of operational problems (https://www.energy.gov/eere/femp/re-tuning-federal-buildings). Re-tuning typically reduces energy consumption between 5% and 25%.

Deploy an Energy Management Information System (EMIS) throughout your data center infrastructure to optimize energy consumption (https://www.energy.gov/eere/femp/energy-management-information-systems-federal-facilities).

Procure data center services from those that have achieved DOE 50001 Ready recognition and/or DOE Superior Energy Performance 50001 (SEP 50001) (https://betterbuildingssolutioncenter.energy.gov/iso-50001/50001Ready; https://betterbuildingssolutioncenter.energy.gov/iso-50001/sep-50001).",42 U.S.C. § 8253(b): http://uscode.house.gov/view.xhtml?hl=false&edition=2012&req=granuleid%3AUSC-prelim-title42-section8253&f=treesort&fq=true&num=0,"DOE EERE FEMP Best Practices to Support EMIS Operation at Federal Facilities: https://www.energy.gov/sites/default/files/2022-02/best-practices-to-support-EMIS-operation-federal-facilities.pdf

DOE EERE FEMP Energy Management Information Systems Technical Resources Report: https://www.energy.gov/sites/default/files/2021-09/emis-technical-resources.pdf

DOE 50001 Ready Program: https://betterbuildingssolutioncenter.energy.gov/iso-50001/50001Ready

DOE SEP 50001: https://betterbuildingssolutioncenter.energy.gov/iso-50001/sep-50001",,,,
data center infrastructure management (DCIM) and detailed power telemetry monitoring,Process,33,"systematic approach, aided by software, to monitor and control IT equipment within data centers; part of this approach may include collection and visualization of data from IT equipment for monitoring and optimization of energy consumption.",,"To the greatest extent practicable, procured data center services should replace manual collection of operational data with automated collection, as enabled by DCIM and detailed power telemetry monitoring, to decrease their energy consumption.",42 U.S.C. § 8253(b): http://uscode.house.gov/view.xhtml?hl=false&edition=2012&req=granuleid%3AUSC-prelim-title42-section8253&f=treesort&fq=true&num=0,,,,,
energy saving software,Process,34,software that allows users to manage the power settings of their IT equipment (hardware).,,,42 U.S.C. § 8253(b): http://uscode.house.gov/view.xhtml?hl=false&edition=2012&req=granuleid%3AUSC-prelim-title42-section8253&f=treesort&fq=true&num=0,,,,,
ENERGY STAR hardware,Process,35,"hardware that has been certified by the ENERGY STAR program, administered by the EPA, to meet its energy efficiency standards.",,Prioritize procurements of data center services that use ENERGY STAR-certified hardware to the maximum extent practicable.,42 U.S.C. § 8253(b): http://uscode.house.gov/view.xhtml?hl=false&edition=2012&req=granuleid%3AUSC-prelim-title42-section8253&f=treesort&fq=true&num=0,EPA ENERGY STAR: https://www.energystar.gov/,Y,"Y (servers): https://www.epeat.net/search-servers

Y (computers and displays): https://www.epeat.net/search-computers-and-displays",,
Federal Energy Management Program (FEMP) designated product,Process,36,"""a product that is designated under the Federal Energy Management Program of the Department of Energy as being among the highest 25 percent of equivalent products for energy efficiency.""",42 U.S.C. 8259(b)(4): https://uscode.house.gov/view.xhtml?req=FEMP+designated+product&f=treesort&fq=true&num=0&hl=true&edition=prelim&granuleId=USC-prelim-title42-section8259b,"To the maximum extent practicable, prioritize procurements of data center services that use FEMP designated products.","42 U.S.C. § 8253(b): http://uscode.house.gov/view.xhtml?hl=false&edition=2012&req=granuleid%3AUSC-prelim-title42-section8253&f=treesort&fq=true&num=0

42 U.S.C. 8259(b)(4): https://uscode.house.gov/view.xhtml?req=FEMP+designated+product&f=treesort&fq=true&num=0&hl=true&edition=prelim&granuleId=USC-prelim-title42-section8259b",,,,,
compute effectiveness,Process,37,"aggregate server performance relative to server energy consumption, within a given data center.",,"To the maximum extent practicable, prioritize procurements of data center services that include servers with high compute effectiveness.",42 U.S.C. § 8253(b): http://uscode.house.gov/view.xhtml?hl=false&edition=2012&req=granuleid%3AUSC-prelim-title42-section8253&f=treesort&fq=true&num=0,,N/A,N/A,,
Power Purchase Agreement (PPA),Process,38,"""arrangement in which a third-party developer installs, owns, and operates an energy system on a customer's property"" and then ""the customer then purchases the system's electric output for a predetermined period.""",https://betterbuildingssolutioncenter.energy.gov/financing-navigator/option/power-purchase-agreement,"As PPAs are commonly used to finance renewable energy projects, consider using PPAs to finance on-site renewable energy sources to power data centers. Prioritize procurements of data center services which leverage third-party ownership models such as PPAs for this purpose.",42 U.S.C. § 8253(b): http://uscode.house.gov/view.xhtml?hl=false&edition=2012&req=granuleid%3AUSC-prelim-title42-section8253&f=treesort&fq=true&num=0,,N/A,N/A,,
detailed energy strategic plan,Process,39,"Comprehensive plan that outlines an agency's energy vision, mission, goals, objectives, performance metrics, strategies, and timelines for achieving these; integrates energy, budgetary/financial, and environmental considerations; and aligns with agency-wide strategic plan, including long-term strategic goals and strategic objectives.",,"Your agency is encouraged to develop a detailed energy strategic plan that: 1) charts an efficient and measurable course between your agency's current and future energy state, 2) leverages renewable energy sources to the maximum extent practicable to power its operations (including both on-premise and off-premise IT), and 3) aligns with your larger agency strategic plan.",42 U.S.C. § 8253(b): http://uscode.house.gov/view.xhtml?hl=false&edition=2012&req=granuleid%3AUSC-prelim-title42-section8253&f=treesort&fq=true&num=0,"DOE's Community Energy Strategic Planning for local governments: https://www.energy.gov/scep/slsc/guide-community-energy-strategic-planning

DOE's Energy Transitions Playbook: https://www.energy.gov/eere/articles/energy-transitions-initiative-energy-transitions-playbook",N/A,N/A,,
on-site primary power production through non-traditional methods,Process,40,"on-site conversion of primary energy (i.e., energy that has not already been converted off-site to electricity or another energy carrier) to electricity via solar, wind, geothermal, biopower, hydroelectric, tidal power, or other methods.",,"Your agency should explore purchasing renewable primary power generation via on-site contracts with third-party owners (https://www.energy.gov/eere/femp/federal-site-electricity-contracts), which can translate into decreased energy costs, carbon emissions, and transmission loss.

To fund on-site primary power production via renewable energy sources, consider the benefits and drawbacks of Congressional appropriations as well as different contract vehicles as applicable to your agency: Energy Savings Performance Contracts, Energy Savings Performance Contract Energy Sales Agreements, Utility Energy Service Contracts, On-Site Electricity Purchase Contracts, Real Property Arrangements/Enhanced Use Leases (https://www.energy.gov/eere/femp/federal-site-distributed-energy-procurement-options#appropriations).",42 U.S.C. § 8253(b): http://uscode.house.gov/view.xhtml?hl=false&edition=2012&req=granuleid%3AUSC-prelim-title42-section8253&f=treesort&fq=true&num=0,"DOE EERE FEMP Federal On-Site Electricity Contracts: https://www.energy.gov/eere/femp/federal-site-electricity-contracts

DOE EERE FEMP Federal On-Site Distributed Energy Procurement Options: https://www.energy.gov/eere/femp/federal-site-distributed-energy-procurement-options

DOE EERE FEMP Technical Assistance for Distributed Energy Projects: https://www7.eere.energy.gov/femp/assistance/node/add/application-combined",N/A,N/A,,
recycled materials,Material,41,"location and commodity-dependent process of collection and processing of waste materials, and remanufacture of these into new new products",EPA: https://www.epa.gov/recyclingstrategy/us-recycling-system#USRecyclingSystemOverview,"To the maximum extent practicable, construct and equip data centers that contain products created from recycled materials, such as recycled metal, glass, plastic, and paper, to limit the environmental impact caused by waste of old materials and manufacture of new materials.

Prioritize procurements of recycled materials that are listed in the Comprehensive Procurement Guideline (CPG) Program product directory (https://www.epa.gov/smm/comprehensive-procurement-guideline-cpg-program#products).","42 U.S.C. § 6962(i)

40 C.F.R. § 247

E.O. 13990 Sec 1",EPA CPG program: https://www.epa.gov/smm/comprehensive-procurement-guideline-cpg-program#products,Y,N/A,,
brownfield sites,Material,42,"""real property, the expansion, redevelopment or reuse of which may be complicated by the presence of a hazardous substance, pollutant, or contaminant.""",42 U.S.C. 9601(39)(a): https://www.govinfo.gov/content/pkg/USCODE-2011-title42/html/USCODE-2011-title42-chap103.htm ,"To the maximum extent practicable, prioritize procurements of data centers and data center services that repurpose underutilized infrastructure.","E.O. 14057 Sec 301
E.O. 14057 Sec 303
FAR Part 23.103
FAR Part 23.802
E.O. 14008 Sec 217",EPA's Brownfield Program: https://www.epa.gov/brownfields,N/A,N/A,,
disadvantaged area for construction site,Material,43,,,,,,N/A,N/A,,
thermal solar to heat water and people space,Material,44,"process of collecting heat from absorbtion of sunlight usually via a solar thermal collector, and transferring of heat via working fluid-filled pipes for water and people space heating.",,"To the maximum extent practicable, prioritize procurements of data centers and data center services that use thermal solar energy to heat water and people space, thereby reducing energy consumption, associated energy costs, and greenhouse gas emissions. Of the different types of solar thermal collectors to be used, consider honeycomb solar thermal collectors (HSTCs), which minimize heat loss and are 8% more efficient than flat-plate collectors (https://www.gsa.gov/cdnstatic/GPG_Findings_027-Honeycomb_Solar_Thermal_Collector.pdf).",42 U.S.C. § 8253(b): http://uscode.house.gov/view.xhtml?hl=false&edition=2012&req=granuleid%3AUSC-prelim-title42-section8253&f=treesort&fq=true&num=0,"GSA Green Proving Ground (GPG): https://www.gsa.gov/governmentwide-initiatives/climate-action-and-sustainability/center-for-emerging-building-technologies/published-findings/onsite-power-renewables/honeycomb-solar-thermal-collector

GSA Green Proving Ground (GPG) GPG-027 Honeycomb Solar Thermal Collector: https://www.gsa.gov/cdnstatic/GPG_Findings_027-Honeycomb_Solar_Thermal_Collector.pdf",Y,N,,
low flush or no flush toilets,Material,45,,,,42 U.S.C. § 8253(b): http://uscode.house.gov/view.xhtml?hl=false&edition=2012&req=granuleid%3AUSC-prelim-title42-section8253&f=treesort&fq=true&num=0,,,,,
reclaim heat from whitespace,Material,46,,,,,,,,,
reuse of data center by-products,Material,47,,,"Water for municipal heating, agriculture",42 U.S.C. § 8253(b): http://uscode.house.gov/view.xhtml?hl=false&edition=2012&req=granuleid%3AUSC-prelim-title42-section8253&f=treesort&fq=true&num=0,,,,,
natural landscaping of campus,Material,48,,,Less gasoline engine usage,,,,,,
Waste management,Material,49,,,,,,,,,
e-Waste management,Material,50,,,,,,,,,
green energy coefficient (GEC),Power Consumption,51,"proportion of green energy consumed by the data center relative to total energy consumed

green energy consumed by data center / total energy consumed by data center",page 13: https://www.energystar.gov/sites/default/files/buildings/tools/Measurement%20Protocol%20for%20GEC%2C%20ERF%2C%20and%20CUE.pdf,"To the maximum extent practicable, prioritize procurements pertaining to data centers that participate in EPA's Green Power Partnership and/or Green Energy Certified-data centers, and which have a GUE approaching or equal to 1.0.",,U.S. EPA Green Power Partnership: https://www.epa.gov/greenpower,N/A,N/A,,
energy reuse factor (ERF),Power Consumption,52,"proportion of energy reused outside of the data center relative to the total energy from the data center

energy reused outside of data center / total energy from the data center",page 17: https://www.energystar.gov/sites/default/files/buildings/tools/Measurement%20Protocol%20for%20GEC%2C%20ERF%2C%20and%20CUE.pdf,"To the maximum extent practicable, prioritize procurements pertaining to data centers which have a ERF approaching 1.0.",,,N/A,N/A,,
On-site green power generation (OGP),,,Does the data center have on-site power generation capability to either supplement existing production needs or enough to handle the entire load requirement?,,,,,N/A,N/A,,
Off-Grid capability  yes/no (OGC),,,Does the data center have on-site power prodcution capability to indefinitely operate the data center in full prodcution mode?,,,,,N/A,N/A,,
circular economy,Process,55,proposed approach to sustainable data center development and operations that relies on a continuous cycle of use and reuse of pertinent components and materials.,,Federal procurements of data center services should include contract languauge that rewards use and reuse of pertinent data center components and materials.,,,N/A,N/A,,